,username,fullname,user_id,tweet_id,timestamp,replies,retweets,likes,text,html,hashtag,year
8,Zementis,Zementis,40168855,1027525773115179008,2018-08-09 12:03:29,0,0,0,"RT SoftwareAG ""RT adamosgroup: „A great example for that in the Industrial Internet o Things (IIoT) is #ADAMOS“. http://www.odbms.org  Interview about #AI #IoT #DeepLearning #Predictivemaintenance and #IIoT with Michael Zeller from  SoftwareAG http://www.odbms.org/2018/08/qa-with-michael-zeller-svp-ai-strategy-innovation-at-software-ag/ …""","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">RT SoftwareAG ""RT adamosgroup: „A great example for that in the Industrial Internet o Things (IIoT) is <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/ADAMOS?src=hash""><s>#</s><b><strong>ADAMOS</strong></b></a>“. <a class=""twitter-timeline-link"" data-expanded-url=""http://www.odbms.org"" dir=""ltr"" href=""https://t.co/C1ERbPrINs"" rel=""nofollow noopener"" target=""_blank"" title=""http://www.odbms.org""><span class=""tco-ellipsis""></span><span class=""invisible"">http://www.</span><span class=""js-display-url"">odbms.org</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a> Interview about <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/AI?src=hash""><s>#</s><b>AI</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/IoT?src=hash""><s>#</s><b>IoT</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/DeepLearning?src=hash""><s>#</s><b>DeepLearning</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Predictivemaintenance?src=hash""><s>#</s><b>Predictivemaintenance</b></a> and <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/IIoT?src=hash""><s>#</s><b>IIoT</b></a> with Michael Zeller from  SoftwareAG <a class=""twitter-timeline-link"" data-expanded-url=""http://www.odbms.org/2018/08/qa-with-michael-zeller-svp-ai-strategy-innovation-at-software-ag/"" dir=""ltr"" href=""https://t.co/Z8xZS0LICB"" rel=""nofollow noopener"" target=""_blank"" title=""http://www.odbms.org/2018/08/qa-with-michael-zeller-svp-ai-strategy-innovation-at-software-ag/""><span class=""tco-ellipsis""></span><span class=""invisible"">http://www.</span><span class=""js-display-url"">odbms.org/2018/08/qa-wit</span><span class=""invisible"">h-michael-zeller-svp-ai-strategy-innovation-at-software-ag/</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a>""</p>",adamos,2018
9,adamosgroup,ADAMOS Media,976468428163829760,1027513288869982208,2018-08-09 11:13:52,0,15,12,„A great example for that in the Industrial Internet o Things (IIoT) is #ADAMOS“. http://www.odbms.org  Interview about #AI #IoT #DeepLearning #Predictivemaintenance and #IIoT with Michael Zeller from  @SoftwareAG http://www.odbms.org/2018/08/qa-with-michael-zeller-svp-ai-strategy-innovation-at-software-ag/ …,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">„A great example for that in the Industrial Internet o Things (IIoT) is <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/ADAMOS?src=hash""><s>#</s><b><strong>ADAMOS</strong></b></a>“. <a class=""twitter-timeline-link"" data-expanded-url=""http://www.odbms.org"" dir=""ltr"" href=""https://t.co/SDc8OEFkPV"" rel=""nofollow noopener"" target=""_blank"" title=""http://www.odbms.org""><span class=""tco-ellipsis""></span><span class=""invisible"">http://www.</span><span class=""js-display-url"">odbms.org</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a> Interview about <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/AI?src=hash""><s>#</s><b>AI</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/IoT?src=hash""><s>#</s><b>IoT</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/DeepLearning?src=hash""><s>#</s><b>DeepLearning</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Predictivemaintenance?src=hash""><s>#</s><b>Predictivemaintenance</b></a> and <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/IIoT?src=hash""><s>#</s><b>IIoT</b></a> with Michael Zeller from  <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""20679454"" dir=""ltr"" href=""/SoftwareAG""><s>@</s><b>SoftwareAG</b></a> <a class=""twitter-timeline-link"" data-expanded-url=""http://www.odbms.org/2018/08/qa-with-michael-zeller-svp-ai-strategy-innovation-at-software-ag/"" dir=""ltr"" href=""https://t.co/yxf1qPPjM0"" rel=""nofollow noopener"" target=""_blank"" title=""http://www.odbms.org/2018/08/qa-with-michael-zeller-svp-ai-strategy-innovation-at-software-ag/""><span class=""tco-ellipsis""></span><span class=""invisible"">http://www.</span><span class=""js-display-url"">odbms.org/2018/08/qa-wit</span><span class=""invisible"">h-michael-zeller-svp-ai-strategy-innovation-at-software-ag/</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",adamos,2018
20,Zementis,Zementis,40168855,1113175376606490624,2019-04-02 20:24:26,0,0,0,"RT SoftwareAG ""RT YvonneSorg: Learn more about the joint venture #ADAMOS. DrMarcoLink is presenting at SoftwareAG booth in hall 6. #HM19 #turnyourdataintovalue adamosgroup pic.twitter.com/NZBOl1jvsv""","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">RT SoftwareAG ""RT YvonneSorg: Learn more about the joint venture <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/ADAMOS?src=hash""><s>#</s><b><strong>ADAMOS</strong></b></a>. DrMarcoLink is presenting at SoftwareAG booth in hall 6. <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/HM19?src=hash""><s>#</s><b>HM19</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/turnyourdataintovalue?src=hash""><s>#</s><b>turnyourdataintovalue</b></a> adamosgroup <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/NZBOl1jvsv"">pic.twitter.com/NZBOl1jvsv</a>""</p>",adamos,2019
21,YvonneSorg,Yvonne Sorg,886716806,1113004812361261056,2019-04-02 09:06:40,0,4,9,Learn more about the joint venture #ADAMOS. @DrMarcoLink is presenting at @SoftwareAG booth in hall 6. #HM19 #turnyourdataintovalue @adamosgrouppic.twitter.com/0Pp0S47cUw,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Learn more about the joint venture <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/ADAMOS?src=hash""><s>#</s><b><strong>ADAMOS</strong></b></a>. <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""2803714362"" dir=""ltr"" href=""/DrMarcoLink""><s>@</s><b>DrMarcoLink</b></a> is presenting at <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""20679454"" dir=""ltr"" href=""/SoftwareAG""><s>@</s><b>SoftwareAG</b></a> booth in hall 6. <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/HM19?src=hash""><s>#</s><b>HM19</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/turnyourdataintovalue?src=hash""><s>#</s><b>turnyourdataintovalue</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""976468428163829760"" dir=""ltr"" href=""/adamosgroup""><s>@</s><b>adamosgroup</b></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/0Pp0S47cUw"">pic.twitter.com/0Pp0S47cUw</a></p>",adamos,2019
22,Juergen_Kraemer,Juergen Kraemer,154633797,1112732767832416257,2019-04-01 15:05:40,0,3,8,Great presentations on new apps at ADAMOS Partner Day. It was so impressive to see how fast the new partners were able to build and launch apps on the #ADAMOS #IIoT Platform. Our CEO Sanjay Brahmawar ensures all partners our full commitment. #HM19 Softwar…https://lnkd.in/d9zwPPf ,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Great presentations on new apps at ADAMOS Partner Day. It was so impressive to see how fast the new partners were able to build and launch apps on the <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/ADAMOS?src=hash""><s>#</s><b><strong>ADAMOS</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/IIoT?src=hash""><s>#</s><b>IIoT</b></a> Platform. Our CEO Sanjay Brahmawar ensures all partners our full commitment. <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/HM19?src=hash""><s>#</s><b>HM19</b></a> Softwar…<a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://lnkd.in/d9zwPPf"" dir=""ltr"" href=""https://t.co/IN7soZiCEh"" rel=""nofollow noopener"" target=""_blank"" title=""https://lnkd.in/d9zwPPf""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">lnkd.in/d9zwPPf</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>",adamos,2019
23,YvonneSorg,Yvonne Sorg,886716806,1112634244206075909,2019-04-01 08:34:10,0,0,1,@adamosgroup at @SoftwareAG #hmi2019 booth with @DuerrAG EcoScreen Equipment Analytics showcase. Visit us and learn more about real-time quality management with #ADAMOS pic.twitter.com/zHT1Oxj6sC,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""976468428163829760"" dir=""ltr"" href=""/adamosgroup""><s>@</s><b>adamosgroup</b></a> at <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""20679454"" dir=""ltr"" href=""/SoftwareAG""><s>@</s><b>SoftwareAG</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/hmi2019?src=hash""><s>#</s><b>hmi2019</b></a> booth with <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""103847476"" dir=""ltr"" href=""/DuerrAG""><s>@</s><b>DuerrAG</b></a> EcoScreen Equipment Analytics showcase. Visit us and learn more about real-time quality management with <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/ADAMOS?src=hash""><s>#</s><b><strong>ADAMOS</strong></b></a> <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/zHT1Oxj6sC"">pic.twitter.com/zHT1Oxj6sC</a></p>",adamos,2019
32,HackathonStg,Hackathon Stuttgart,580785614,1047763785975570432,2018-10-04 08:22:07,0,0,1,You don't know what ADAMOS is about? Here you can read some facts about our new sponsor this year: http://bit.ly/Hack18Adamos  #Hackstgt18 #Adamos # IoT pic.twitter.com/hjkpVjgfCm,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">You don't know what ADAMOS is about? Here you can read some facts about our new sponsor this year: <a class=""twitter-timeline-link"" data-expanded-url=""http://bit.ly/Hack18Adamos"" dir=""ltr"" href=""https://t.co/JDIAN4ynL0"" rel=""nofollow noopener"" target=""_blank"" title=""http://bit.ly/Hack18Adamos""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">bit.ly/Hack18Adamos</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Hackstgt18?src=hash""><s>#</s><b>Hackstgt18</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Adamos?src=hash""><s>#</s><b><strong>Adamos</strong></b></a> # IoT <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/hjkpVjgfCm"">pic.twitter.com/hjkpVjgfCm</a></p>",adamos,2018
43,MachiningNews,Machining News,2330380674,963020160243290112,2018-02-12 12:01:12,0,0,0,@DMG MORI offers integrated #digitization solutions for the #digitalfactory with #CELOS and #ADAMOS #IIoT platform http://www.machiningnews.com/2018/02/dmg-mori-promotes-digital-workflows-as-a-fundamental-step-towards-the-digital-factory/ …pic.twitter.com/7bfYwekJTX,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""121898687"" dir=""ltr"" href=""/dmg""><s>@</s><b>DMG</b></a> MORI offers integrated <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/digitization?src=hash""><s>#</s><b>digitization</b></a> solutions for the <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/digitalfactory?src=hash""><s>#</s><b>digitalfactory</b></a> with <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/CELOS?src=hash""><s>#</s><b>CELOS</b></a> and <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/ADAMOS?src=hash""><s>#</s><b><strong>ADAMOS</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/IIoT?src=hash""><s>#</s><b>IIoT</b></a> platform <a class=""twitter-timeline-link"" data-expanded-url=""http://www.machiningnews.com/2018/02/dmg-mori-promotes-digital-workflows-as-a-fundamental-step-towards-the-digital-factory/"" dir=""ltr"" href=""https://t.co/kPoMeNSjNK"" rel=""nofollow noopener"" target=""_blank"" title=""http://www.machiningnews.com/2018/02/dmg-mori-promotes-digital-workflows-as-a-fundamental-step-towards-the-digital-factory/""><span class=""tco-ellipsis""></span><span class=""invisible"">http://www.</span><span class=""js-display-url"">machiningnews.com/2018/02/dmg-mo</span><span class=""invisible"">ri-promotes-digital-workflows-as-a-fundamental-step-towards-the-digital-factory/</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/7bfYwekJTX"">pic.twitter.com/7bfYwekJTX</a></p>",adamos,2018
48,huni_park,Byung-Hun Park,760101433693863937,923058845743796224,2017-10-25 05:29:13,0,0,2,"#Adamos is the new #IoT #venture for the #Machine and #Mechanical #Engineering #Industry #JoinedForces #software https://www.computerwoche.de/a/eine-initiative-vom-maschinenbau-fuer-den-maschinenbau,3331862 …","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Adamos?src=hash""><s>#</s><b><strong>Adamos</strong></b></a> is the new <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/IoT?src=hash""><s>#</s><b>IoT</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/venture?src=hash""><s>#</s><b>venture</b></a> for the <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Machine?src=hash""><s>#</s><b>Machine</b></a> and <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Mechanical?src=hash""><s>#</s><b>Mechanical</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Engineering?src=hash""><s>#</s><b>Engineering</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Industry?src=hash""><s>#</s><b>Industry</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/JoinedForces?src=hash""><s>#</s><b>JoinedForces</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/software?src=hash""><s>#</s><b>software</b></a> <img alt=""💪🏻"" aria-label=""Emoji: Angespannter Bizeps (heller Hautton)"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f4aa-1f3fb.png"" title=""Angespannter Bizeps (heller Hautton)""/><a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://www.computerwoche.de/a/eine-initiative-vom-maschinenbau-fuer-den-maschinenbau,3331862"" dir=""ltr"" href=""https://t.co/mnEHuimgSy"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.computerwoche.de/a/eine-initiative-vom-maschinenbau-fuer-den-maschinenbau,3331862""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">computerwoche.de/a/eine-initiat</span><span class=""invisible"">ive-vom-maschinenbau-fuer-den-maschinenbau,3331862</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",adamos,2017
49,huni_park,Byung-Hun Park,760101433693863937,921337776456589314,2017-10-20 11:30:18,0,4,4,". @SoftwareAG @SoftwareAG_D to #launch #IoT business line as of #2018 #Industry40 #InternetofThings #ADAMOS

See: http://ow.ly/k15M30g0NzE ","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">. <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""20679454"" dir=""ltr"" href=""/SoftwareAG""><s>@</s><b>SoftwareAG</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""137759309"" dir=""ltr"" href=""/SoftwareAG_D""><s>@</s><b>SoftwareAG_D</b></a> to <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/launch?src=hash""><s>#</s><b>launch</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/IoT?src=hash""><s>#</s><b>IoT</b></a> business line as of #2018 <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Industry40?src=hash""><s>#</s><b>Industry40</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/InternetofThings?src=hash""><s>#</s><b>InternetofThings</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/ADAMOS?src=hash""><s>#</s><b><strong>ADAMOS</strong></b></a>

See: <a class=""twitter-timeline-link"" data-expanded-url=""http://ow.ly/k15M30g0NzE"" dir=""ltr"" href=""https://t.co/8AlQKhEgVS"" rel=""nofollow noopener"" target=""_blank"" title=""http://ow.ly/k15M30g0NzE""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">ow.ly/k15M30g0NzE</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>",adamos,2017
