,username,fullname,user_id,tweet_id,timestamp,replies,retweets,likes,text,html,hashtag,year
0,iotbusinessnews,IoT Business News,948191659,564820475969560577,2015-02-09 16:17:49,0,1,0,"#Cumulocity successfully conducted #OMA #LWM2M (Lightweight #M2M) interoperability tests with nine companies - #IoT
http://m2mworldnews.com/2015/02/09/34626-cumulocity-successfully-conducted-oma-lwm2m-lightweight-m2m-interoperability-tests-with-nine-companies/ …","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Cumulocity?src=hash""><s>#</s><b><strong>Cumulocity</strong></b></a> successfully conducted <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/OMA?src=hash""><s>#</s><b>OMA</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/LWM2M?src=hash""><s>#</s><b>LWM2M</b></a> (Lightweight <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/M2M?src=hash""><s>#</s><b>M2M</b></a>) interoperability tests with nine companies - <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/IoT?src=hash""><s>#</s><b>IoT</b></a>
<a class=""twitter-timeline-link"" data-expanded-url=""http://m2mworldnews.com/2015/02/09/34626-cumulocity-successfully-conducted-oma-lwm2m-lightweight-m2m-interoperability-tests-with-nine-companies/"" dir=""ltr"" href=""http://t.co/NVLGMmYfnZ"" rel=""nofollow noopener"" target=""_blank"" title=""http://m2mworldnews.com/2015/02/09/34626-cumulocity-successfully-conducted-oma-lwm2m-lightweight-m2m-interoperability-tests-with-nine-companies/""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">m2mworldnews.com/2015/02/09/346</span><span class=""invisible"">26-cumulocity-successfully-conducted-oma-lwm2m-lightweight-m2m-interoperability-tests-with-nine-companies/</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",cumulocity,2015
2,INSYS__icom,INSYS icom,532256113,598394631248830465,2015-05-13 07:49:32,0,0,0,now we also directly support #Cumulocity Cloud: http://goo.gl/FJdUy9 https://twitter.com/infoPLC/status/598393117994254338 …,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""en"">now we also directly support <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Cumulocity?src=hash""><s>#</s><b><strong>Cumulocity</strong></b></a> Cloud: <a class=""twitter-timeline-link"" data-expanded-url=""http://goo.gl/FJdUy9"" dir=""ltr"" href=""http://t.co/rJ2dDVIXAk"" rel=""nofollow noopener"" target=""_blank"" title=""http://goo.gl/FJdUy9""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">goo.gl/FJdUy9</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a><a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/infoPLC/status/598393117994254338"" dir=""ltr"" href=""https://t.co/uxPgHB2Gw4"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/infoPLC/status/598393117994254338""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/infoPLC/status</span><span class=""invisible"">/598393117994254338</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",cumulocity,2015
4,KMehtola,Kalle Mehtola,3395240254,634357152975560704,2015-08-20 13:31:45,0,2,2,"@ Customer meeting demonstrating #cumulocity #sonera #IoT platform , Customer overwhelmed of the possibilities for #new business generation","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">@ Customer meeting demonstrating <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/cumulocity?src=hash""><s>#</s><b><strong>cumulocity</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/sonera?src=hash""><s>#</s><b>sonera</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/IoT?src=hash""><s>#</s><b>IoT</b></a> platform , Customer overwhelmed of the possibilities for <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/new?src=hash""><s>#</s><b>new</b></a> business generation</p>",cumulocity,2015
6,rarrigo,Rita Arrigo,8528812,670451744539676672,2015-11-28 03:58:46,0,1,4,Learning about #cumulocity and #payloads for#IOT #iotchallenge @ Telstra Corporate Centre https://instagram.com/p/-nUA5GpiPS/ ,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Learning about <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/cumulocity?src=hash""><s>#</s><b><strong>cumulocity</strong></b></a> and <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/payloads?src=hash""><s>#</s><b>payloads</b></a> for#IOT <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/iotchallenge?src=hash""><s>#</s><b>iotchallenge</b></a> @ Telstra Corporate Centre <a class=""twitter-timeline-link"" data-expanded-url=""https://instagram.com/p/-nUA5GpiPS/"" dir=""ltr"" href=""https://t.co/SSV9lwS9uo"" rel=""nofollow noopener"" target=""_blank"" title=""https://instagram.com/p/-nUA5GpiPS/""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">instagram.com/p/-nUA5GpiPS/</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>",cumulocity,2015
8,tanelitikka,Taneli Tikka,14798398,686817251383717888,2016-01-12 07:49:27,1,8,12,News of our #IoT & #Analytics work. Together with #Cumulocity #Cisco #HSBLivingLab and our customers at #TINDI http://ow.ly/WWd44 ,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">News of our <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/IoT?src=hash""><s>#</s><b>IoT</b></a> &amp; <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Analytics?src=hash""><s>#</s><b>Analytics</b></a> work. Together with <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Cumulocity?src=hash""><s>#</s><b><strong>Cumulocity</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Cisco?src=hash""><s>#</s><b>Cisco</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/HSBLivingLab?src=hash""><s>#</s><b>HSBLivingLab</b></a> and our customers at <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/TINDI?src=hash""><s>#</s><b>TINDI</b></a> <a class=""twitter-timeline-link"" data-expanded-url=""http://ow.ly/WWd44"" dir=""ltr"" href=""https://t.co/9pRf3283Tr"" rel=""nofollow noopener"" target=""_blank"" title=""http://ow.ly/WWd44""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">ow.ly/WWd44</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>",cumulocity,2016
10,_it_services,IT Services News,4825027321,722838206291415040,2016-04-20 17:23:52,0,0,0,#Cumulocity and Astea International Team Up to Provide Turnkey Internet-of-Things Solution for ... Read more: http://owler.us/abkdDr ,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Cumulocity?src=hash""><s>#</s><b><strong>Cumulocity</strong></b></a> and Astea International Team Up to Provide Turnkey Internet-of-Things Solution for ... Read more: <a class=""twitter-timeline-link"" data-expanded-url=""http://owler.us/abkdDr"" dir=""ltr"" href=""https://t.co/3eqDZZE5L0"" rel=""nofollow noopener"" target=""_blank"" title=""http://owler.us/abkdDr""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">owler.us/abkdDr</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>",cumulocity,2016
11,_it_services,IT Services News,4825027321,722838051035033600,2016-04-20 17:23:15,0,1,0,#Cumulocity : and Astea International Team Up to Provide Turnkey Internet-of-Things Solution fo... Read more: http://owler.us/abkdDL ,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Cumulocity?src=hash""><s>#</s><b><strong>Cumulocity</strong></b></a> : and Astea International Team Up to Provide Turnkey Internet-of-Things Solution fo... Read more: <a class=""twitter-timeline-link"" data-expanded-url=""http://owler.us/abkdDL"" dir=""ltr"" href=""https://t.co/YlW2hhxJ1l"" rel=""nofollow noopener"" target=""_blank"" title=""http://owler.us/abkdDL""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">owler.us/abkdDL</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>",cumulocity,2016
12,CPinnaLajain,Claudia Pinna-Lajain,1131127208,719819534736044032,2016-04-12 09:28:45,0,0,1,#Cumulocity Introduces SaaS Workflow Automation for the ‘Internet-of-Things’ http://www.businesswire.com/news/home/20160412005128/en/Cumulocity-Introduces-SaaS-Workflow-Automation-%E2%80%98Internet-of-Things%E2%80%99#.Vwy_ozyZEjU.twitter …,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Cumulocity?src=hash""><s>#</s><b><strong>Cumulocity</strong></b></a> Introduces SaaS Workflow Automation for the ‘Internet-of-Things’ <a class=""twitter-timeline-link u-hidden"" data-expanded-url=""http://www.businesswire.com/news/home/20160412005128/en/Cumulocity-Introduces-SaaS-Workflow-Automation-%E2%80%98Internet-of-Things%E2%80%99#.Vwy_ozyZEjU.twitter"" dir=""ltr"" href=""https://t.co/Q4W0PfuBrQ"" rel=""nofollow noopener"" target=""_blank"" title=""http://www.businesswire.com/news/home/20160412005128/en/Cumulocity-Introduces-SaaS-Workflow-Automation-%E2%80%98Internet-of-Things%E2%80%99#.Vwy_ozyZEjU.twitter""><span class=""tco-ellipsis""></span><span class=""invisible"">http://www.</span><span class=""js-display-url"">businesswire.com/news/home/2016</span><span class=""invisible"">0412005128/en/Cumulocity-Introduces-SaaS-Workflow-Automation-%E2%80%98Internet-of-Things%E2%80%99#.Vwy_ozyZEjU.twitter</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",cumulocity,2016
16,SoniaNik,Sonia Nachkova,60940559,1136248717852499968,2019-06-05 12:29:39,0,2,0,"@stsigg is demonstrating live the power of #softwareag technologies and how easy & seamlessly they play together #IUG2019
#integration #ipaas #userexperience #selfservice #easytouse #iot #analytics #turndataintovalue #webmethods #cumulocity #trendminer #…https://lnkd.in/d5jCgKG ","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""39979495"" dir=""ltr"" href=""/stsigg""><s>@</s><b>stsigg</b></a> is demonstrating live the power of <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/softwareag?src=hash""><s>#</s><b>softwareag</b></a> technologies and how easy &amp; seamlessly they play together <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/IUG2019?src=hash""><s>#</s><b>IUG2019</b></a>
<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/integration?src=hash""><s>#</s><b>integration</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/ipaas?src=hash""><s>#</s><b>ipaas</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/userexperience?src=hash""><s>#</s><b>userexperience</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/selfservice?src=hash""><s>#</s><b>selfservice</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/easytouse?src=hash""><s>#</s><b>easytouse</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/iot?src=hash""><s>#</s><b>iot</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/analytics?src=hash""><s>#</s><b>analytics</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/turndataintovalue?src=hash""><s>#</s><b>turndataintovalue</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/webmethods?src=hash""><s>#</s><b>webmethods</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/cumulocity?src=hash""><s>#</s><b><strong>cumulocity</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/trendminer?src=hash""><s>#</s><b>trendminer</b></a> #…<a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://lnkd.in/d5jCgKG"" dir=""ltr"" href=""https://t.co/tMWso30o8E"" rel=""nofollow noopener"" target=""_blank"" title=""https://lnkd.in/d5jCgKG""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">lnkd.in/d5jCgKG</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>",cumulocity,2019
17,StefanRied,Stefan Ried,16433903,1135862776931520513,2019-06-04 10:56:03,0,0,6,#softwareag #iot #cumulocity user group meeting in Riga. pic.twitter.com/Wi1xVDehwl,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/softwareag?src=hash""><s>#</s><b>softwareag</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/iot?src=hash""><s>#</s><b>iot</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/cumulocity?src=hash""><s>#</s><b><strong>cumulocity</strong></b></a> user group meeting in Riga. <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/Wi1xVDehwl"">pic.twitter.com/Wi1xVDehwl</a></p>",cumulocity,2019
