"screen_name";"username";"user_id";"tweet_id";"tweet_url";"timestamp";"timestamp_epochs";"text";"text_html";"links";"hashtags";"has_media";"img_urls";"video_url";"likes";"retweets";"replies";"is_replied";"is_reply_to";"parent_tweet_id";"reply_to_users"
"SiemensUSA";"SiemensUSA";"16578473";"833787327960997893";"/SiemensUSA/status/833787327960997893";"2017-02-20 21:16:04";1487625364;"Smart data needs actionable insights #Mindsphere @IntelITCenterhttps://itpeernetwork.intel.com/manufacturing-data-analytics-machine-learning …";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Smart data needs actionable insights <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Mindsphere?src=hash""><s>#</s><b><strong>Mindsphere</strong></b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""864939066071982080"" dir=""ltr"" href=""/IntelITCenter""><s>@</s><b>IntelITCenter</b></a><a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://itpeernetwork.intel.com/manufacturing-data-analytics-machine-learning"" dir=""ltr"" href=""https://t.co/O9X88X6CkH"" rel=""nofollow noopener"" target=""_blank"" title=""https://itpeernetwork.intel.com/manufacturing-data-analytics-machine-learning""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">itpeernetwork.intel.com/manufacturing-</span><span class=""invisible"">data-analytics-machine-learning</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>";"['https://itpeernetwork.intel.com/manufacturing-data-analytics-machine-learning']";"['Mindsphere']";False;"[]";"";8;7;0;False;False;"";"[]"
"FarandWidecom";"Far & Wide";"974356729856053248";"1029940887135039489";"/FarandWidecom/status/1029940887135039489";"2018-08-16 04:00:17";1534392017;"The most visited tourist attractions in the world might surprise you.";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">The most visited tourist attractions in the world might surprise you.</p>";"[]";"[]";False;"[]";"";55;9;1;True;False;"";"[]"
"SiemensII";"Siemens Industry USA";"90542658";"833769162778492931";"/SiemensII/status/833769162778492931";"2017-02-20 20:03:53";1487621033;"The Future of Manufacturing with Data Analytics and Machine Learning @IntelITCenter #MindSphere
https://itpeernetwork.intel.com/manufacturing-data-analytics-machine-learning …";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">The Future of Manufacturing with Data Analytics and Machine Learning <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""864939066071982080"" dir=""ltr"" href=""/IntelITCenter""><s>@</s><b>IntelITCenter</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/MindSphere?src=hash""><s>#</s><b><strong>MindSphere</strong></b></a>
<a class=""twitter-timeline-link"" data-expanded-url=""https://itpeernetwork.intel.com/manufacturing-data-analytics-machine-learning"" dir=""ltr"" href=""https://t.co/7BVeHb30tP"" rel=""nofollow noopener"" target=""_blank"" title=""https://itpeernetwork.intel.com/manufacturing-data-analytics-machine-learning""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">itpeernetwork.intel.com/manufacturing-</span><span class=""invisible"">data-analytics-machine-learning</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>";"['https://itpeernetwork.intel.com/manufacturing-data-analytics-machine-learning']";"['MindSphere']";False;"[]";"";3;4;0;False;False;"";"[]"
"vineethphp";"Vineeth E";"60495168";"833036845055430656";"/vineethphp/status/833036845055430656";"2017-02-18 19:33:55";1487446435;"Read more about #MindSphere #platform by @Siemens. #digital #transformation
http://www.economist.com/news/business/21711079-american-industrial-giant-sprinting-towards-its-goal-german-firm-taking-more …";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Read more about <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/MindSphere?src=hash""><s>#</s><b><strong>MindSphere</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/platform?src=hash""><s>#</s><b>platform</b></a> by <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""294120449"" dir=""ltr"" href=""/Siemens""><s>@</s><b>Siemens</b></a>. <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/digital?src=hash""><s>#</s><b>digital</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/transformation?src=hash""><s>#</s><b>transformation</b></a>
<a class=""twitter-timeline-link"" data-expanded-url=""http://www.economist.com/news/business/21711079-american-industrial-giant-sprinting-towards-its-goal-german-firm-taking-more"" dir=""ltr"" href=""https://t.co/ppu1IPvNmb"" rel=""nofollow noopener"" target=""_blank"" title=""http://www.economist.com/news/business/21711079-american-industrial-giant-sprinting-towards-its-goal-german-firm-taking-more""><span class=""tco-ellipsis""></span><span class=""invisible"">http://www.</span><span class=""js-display-url"">economist.com/news/business/</span><span class=""invisible"">21711079-american-industrial-giant-sprinting-towards-its-goal-german-firm-taking-more</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>";"['http://www.economist.com/news/business/21711079-american-industrial-giant-sprinting-towards-its-goal-german-firm-taking-more']";"['MindSphere', 'platform', 'digital', 'transformation']";False;"[]";"";1;0;0;False;False;"";"[]"
"JSL_Kelly";"Justin Kelly";"251032612";"832660556855119876";"/JSL_Kelly/status/832660556855119876";"2017-02-17 18:38:41";1487356721;"MindSphere



#MINDSPHERE
Transforms #data into knowledge & then into measured business success.  
https://www.siemens.com/global/en/home/company/topic-areas/digitalization/mindsphere.html …";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">MindSphere



<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/MINDSPHERE?src=hash""><s>#</s><b><strong>MINDSPHERE</strong></b></a>
Transforms <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/data?src=hash""><s>#</s><b>data</b></a> into knowledge &amp; then into measured business success.  
<a class=""twitter-timeline-link"" data-expanded-url=""https://www.siemens.com/global/en/home/company/topic-areas/digitalization/mindsphere.html"" dir=""ltr"" href=""https://t.co/aOTYJ2Zzyu"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.siemens.com/global/en/home/company/topic-areas/digitalization/mindsphere.html""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">siemens.com/global/en/home</span><span class=""invisible"">/company/topic-areas/digitalization/mindsphere.html</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>";"['https://www.siemens.com/global/en/home/company/topic-areas/digitalization/mindsphere.html']";"['MINDSPHERE', 'data']";False;"[]";"";2;0;0;False;False;"";"[]"
"BuschRo";"Roland Busch";"4894990719";"832643825763880960";"/BuschRo/status/832643825763880960";"2017-02-17 17:32:12";1487352732;"Great to see @Siemens recognized for advancing #industrial #IoT and transforming data into knowledge w/ #MindSphere: http://sie.ag/2kxjIqb ";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Great to see <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""294120449"" dir=""ltr"" href=""/Siemens""><s>@</s><b>Siemens</b></a> recognized for advancing <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/industrial?src=hash""><s>#</s><b>industrial</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/IoT?src=hash""><s>#</s><b>IoT</b></a> and transforming data into knowledge w/ <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/MindSphere?src=hash""><s>#</s><b><strong>MindSphere</strong></b></a>: <a class=""twitter-timeline-link"" data-expanded-url=""http://sie.ag/2kxjIqb"" dir=""ltr"" href=""https://t.co/YygEtFgfzb"" rel=""nofollow noopener"" target=""_blank"" title=""http://sie.ag/2kxjIqb""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">sie.ag/2kxjIqb</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>";"['http://sie.ag/2kxjIqb']";"['industrial', 'IoT', 'MindSphere']";False;"[]";"";26;18;0;False;False;"";"[]"
"tecmvaind";"ITSM - Industrial";"744788718666407936";"832519093341270017";"/tecmvaind/status/832519093341270017";"2017-02-17 09:16:33";1487322993;"siemensindustry: RT Florian_1971: #MindSphere in action ITStratHH ithh pic.twitter.com/sbR3l4Uood #YoSoyJabali";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">siemensindustry: RT Florian_1971: <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/MindSphere?src=hash""><s>#</s><b><strong>MindSphere</strong></b></a> in action ITStratHH ithh <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/sbR3l4Uood"">pic.twitter.com/sbR3l4Uood</a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/YoSoyJabali?src=hash""><s>#</s><b>YoSoyJabali</b></a></p>";"[]";"['MindSphere', 'YoSoyJabali']";True;"['https://pbs.twimg.com/media/C42Z8ZUVMAEkPqY.jpg']";"";0;0;0;False;False;"";"[]"
"Florian_1971";"Florian Gersbach";"59382504";"832490783026593792";"/Florian_1971/status/832490783026593792";"2017-02-17 07:24:04";1487316244;"#MindSphere in action @ITStratHH @ithhpic.twitter.com/ela7evt6u6";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/MindSphere?src=hash""><s>#</s><b><strong>MindSphere</strong></b></a> in action <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""826062380077576193"" dir=""ltr"" href=""/ITStratHH""><s>@</s><b>ITStratHH</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""413595766"" dir=""ltr"" href=""/ITHH""><s>@</s><b>ithh</b></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/ela7evt6u6"">pic.twitter.com/ela7evt6u6</a></p>";"[]";"['MindSphere']";True;"['https://pbs.twimg.com/media/C42Z8ZUVMAEkPqY.jpg']";"";9;5;1;True;False;"";"[]"
"tecmvaind";"ITSM - Industrial";"744788718666407936";"832243725657108482";"/tecmvaind/status/832243725657108482";"2017-02-16 15:02:21";1487257341;"siemensindustry: #RalfWagner on creating #DigitalTransformation with #MindSphere at ITStratHH #ITHH #IoT pic.twitter.com/v1ubC5tH6U #YoSoyJab…";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">siemensindustry: <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/RalfWagner?src=hash""><s>#</s><b>RalfWagner</b></a> on creating <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/DigitalTransformation?src=hash""><s>#</s><b>DigitalTransformation</b></a> with <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/MindSphere?src=hash""><s>#</s><b><strong>MindSphere</strong></b></a> at ITStratHH <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/ITHH?src=hash""><s>#</s><b>ITHH</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/IoT?src=hash""><s>#</s><b>IoT</b></a> <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/v1ubC5tH6U"">pic.twitter.com/v1ubC5tH6U</a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/YoSoyJab?src=hash""><s>#</s><b>YoSoyJab</b></a>…</p>";"[]";"['RalfWagner', 'DigitalTransformation', 'MindSphere', 'ITHH', 'IoT', 'YoSoyJab']";True;"['https://pbs.twimg.com/media/C4y4kqJWIAEtaNQ.jpg', 'https://pbs.twimg.com/media/C4y4xd3XUAAXiwc.jpg', 'https://pbs.twimg.com/media/C4y40iRW8AAmt7F.jpg']";"";0;0;0;False;False;"";"[]"
"siemensindustry";"Siemens Industry";"52698165";"832243400493633536";"/siemensindustry/status/832243400493633536";"2017-02-16 15:01:03";1487257263;"#RalfWagner on creating #DigitalTransformation with #MindSphere at @ITStratHH #ITHH #IoTpic.twitter.com/sGmk5o7qDJ";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/RalfWagner?src=hash""><s>#</s><b>RalfWagner</b></a> on creating <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/DigitalTransformation?src=hash""><s>#</s><b>DigitalTransformation</b></a> with <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/MindSphere?src=hash""><s>#</s><b><strong>MindSphere</strong></b></a> at <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""826062380077576193"" dir=""ltr"" href=""/ITStratHH""><s>@</s><b>ITStratHH</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/ITHH?src=hash""><s>#</s><b>ITHH</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/IoT?src=hash""><s>#</s><b>IoT</b></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/sGmk5o7qDJ"">pic.twitter.com/sGmk5o7qDJ</a></p>";"[]";"['RalfWagner', 'DigitalTransformation', 'MindSphere', 'ITHH', 'IoTpic']";True;"['https://pbs.twimg.com/media/C4y4kqJWIAEtaNQ.jpg', 'https://pbs.twimg.com/media/C4y4xd3XUAAXiwc.jpg', 'https://pbs.twimg.com/media/C4y40iRW8AAmt7F.jpg']";"";11;9;0;False;False;"";"[]"
